province,candidate,votes,winner,district_name,constituency,party
Gandaki,Bal Krishna Ghimire,16293,False,Nawalparasi East,1,NC
Gandaki,Om Bahadur Gharti,14713,False,Nawalparasi East,2,NC
Lumbini,Chandrakant Bhandari,13505,False,Gulmi,1,NC
Lumbini,Bhuwan Prasad Shrestha,14434,False,Gulmi,2,NC
Lumbini,Sandip Rana,18336,True,Palpa,1,NC
Lumbini,Himal Datta Shrestha,12992,False,Palpa,2,NC
Lumbini,Hira Bahadur Khatri,11982,False,Rupandehi,1,NC
Lumbini,Chunna Prasad Sharma,9392,False,Rupandehi,2,NC
Lumbini,Sushil Gurung,8435,False,Rupandehi,3,NC
Lumbini,Ashutosh Mishra,15613,False,Rupandehi,4,NC
Lumbini,Bharat Kumar Shah,12624,False,Rupandehi,5,NC
Lumbini,Bishnu Prasad Khanal,18983,False,Arghakhanchi,1,NC
Lumbini,Atahar Kamal Musalman,14582,False,Kapilvastu,1,NC
Lumbini,Surendra Raj Acharya,21527,False,Kapilvastu,2,NC
Lumbini,Abhishek Pratap Shah,23535,True,Kapilvastu,3,NC
Lumbini,Dr. Govind Raj Pokharel,18338,False,Pyuthan,1,NC
Lumbini,Sudan Kumar Oli,12008,False,Rolpa,1,NC
Lumbini,Yogendra Chaudhary,15280,False,Dang,1,NC
Lumbini,Kiran Kishor Ghimire,11558,False,Dang,2,NC
Lumbini,Deepak Giri,16453,False,Dang,3,NC
Lumbini,Sanjay Kumar Gautam,12722,False,Bardiya,1,NC
Lumbini,Kishor Singh Rathore,20402,False,Bardiya,2,NC
Lumbini,Narayan Prasad Goudel,15301,False,Banke,1,NC
Lumbini,Sudhansu Koirala,17596,False,Banke,2,NC
Lumbini,Amar Singh Pun,13215,False,Banke,3,NC
Lumbini,Binod Kumar Chaudhary,9502,False,Nawalparasi West,1,NC
Lumbini,Bhim Bahadur Thapa Chhetri,15945,False,Nawalparasi West,2,NC
Lumbini,Kusum Devi Thapa,3081,False,Rukum East,1,NC
Karnali,Raju KC,16661,False,Rukum West,1,NC
Karnali,Kesh Bahadur Bista,17558,False,Salyan,1,NC
Karnali,Bishnu Bahadur Khadka,26897,True,Surkhet,1,NC
Karnali,Narayan Kumar Koirala,16378,False,Surkhet,2,NC
Karnali,Basana Thapa,12372,True,Dailekh,1,NC
Karnali,Dikpal Kumar Shahi,9552,False,Dailekh,2,NC
Karnali,Khadak Bahadur Budha,20142,True,Jajarkot,1,NC
Karnali,Karna Bahadur Budha,2947,False,Dolpa,1,NC
Karnali,Jaya Pati Rokaya,8797,True,Humla,1,NC
Karnali,Harsh Bahadur Bam,7133,False,Kalikot,1,NC
Karnali,Khadga Shahi,7914,True,Mugu,1,NC
Karnali,Dip Bahadur Shahi,7143,False,Jumla,1,NC
Sudurpaschim,Janak Raj Giri,17173,True,Bajura,1,NC
Sudurpaschim,Prakash Rasaili Snehi,16304,False,Bajhang,1,NC
Sudurpaschim,Bharat Kumar Swar,10759,True,Achham,1,NC
Sudurpaschim,Pushpa Bahadur Shah,9046,False,Achham,2,NC
Sudurpaschim,Bharat Bahadur Khadka,14897,True,Doti,1,NC
Sudurpaschim,Jankaraj Chaudhary,12867,False,Kailali,1,NC
Sudurpaschim,Vijay Bahadur Swar,7213,False,Kailali,2,NC
Sudurpaschim,Bhim Baduwal,9706,False,Kailali,3,NC
Sudurpaschim,Gorakh Bahadur Bista,11301,False,Kailali,4,NC
Sudurpaschim,Nar Narayan Shah,11958,False,Kailali,5,NC
Sudurpaschim,Gopi Prasad Upadhyaya,8467,False,Kanchanpur,1,NC
Sudurpaschim,Narayan Prakash Saud,10827,False,Kanchanpur,2,NC
Sudurpaschim,Hari Prasad Bohara,9443,False,Kanchanpur,3,NC
Sudurpaschim,Nain Singh Mahar,12121,False,Dadeldhura,1,NC
Sudurpaschim,Chatur Bahadur Chanda,18194,False,Baitadi,1,NC
Sudurpaschim,Dharmanand Joshi,15836,False,Darchula,1,NC
Koshi,Khitiz Thebe,13962,True,Taplejung,1,UML
Koshi,Aindra Sundar Nembang,14534,False,Panchthar,1,UML
Koshi,Kaji Man Kagate,11966,False,Illam,1,UML
Koshi,Suhang Nembang,22426,True,Illam,2,UML
