province,candidate,votes,winner,district_name,constituency,party,election_year
Koshi,Narendra Kumar Kerung,17233,True,Panchthar,1,NC,2082
Koshi,Nishkal Rai,14543,True,Illam,1,NC,2082
Koshi,Bhesraj Acharya,14650,False,Illam,2,NC,2082
Koshi,Keshav Raj Pandey,10550,False,Jhapa,1,NC,2082
Koshi,Sarita Prasai,5616,False,Jhapa,2,NC,2082
Koshi,Rajendra Kumar Ghimire,8199,False,Jhapa,3,NC,2082
Koshi,Deu Kumar Thewe,9434,False,Jhapa,4,NC,2082
Koshi,Mandhara Chimariya,1821,False,Jhapa,5,NC,2082
Koshi,Khadga Bahadur Phago,11986,False,Morang,1,NC,2082
Koshi,Minendra Prasad Rijal,12764,False,Morang,2,NC,2082
Koshi,Shunil Kumar Sharma,24354,False,Morang,3,NC,2082
Koshi,Guru Raj Ghimire,12818,False,Morang,4,NC,2082
Koshi,Phul Kumar Lalwani,9415,False,Morang,5,NC,2082
Koshi,Dr. Shekhar Koirala,12850,False,Morang,6,NC,2082
Koshi,Sujendra Tamang,3970,False,Sunsari,1,NC,2082
Koshi,Rajib Koirala,16071,False,Sunsari,2,NC,2082
Koshi,Bijay Kumar Gachhedar,20501,False,Sunsari,3,NC,2082
Koshi,Gyanendra Bahadur Karki,16587,False,Sunsari,4,NC,2082
Koshi,Dinesh Rai,14257,False,Dhankuta,1,NC,2082
Koshi,Dipen Kumar Shrestha,13271,False,Sankhuwasabha,1,NC,2082
Koshi,Balkrishna Thapa,8670,False,Bhojpur,1,NC,2082
Koshi,Santosh Subba,11561,True,Terhathum,1,NC,2082
Koshi,Kumar Luitel,13948,False,Okhaldhunga,1,NC,2082
Koshi,Bir Kaji Rai,11957,False,Khotang,1,NC,2082
Koshi,Prakash Singh Karki,13166,True,Solukhumbu,1,NC,2082
Koshi,Bidur Basnet,9675,False,Udayapur,1,NC,2082
Koshi,Ram Kumar Rai,7290,False,Udayapur,2,NC,2082
Madhesh,Ramdev Sah (Teli),6994,False,Saptari,1,NC,2082
Madhesh,Ram Kumar Yadav,2498,False,Saptari,2,NC,2082
Madhesh,Dinesh Kumar Yadav,8428,False,Saptari,3,NC,2082
Madhesh,Teju Lal Chaudhary,13103,False,Saptari,4,NC,2082
Madhesh,Ram Sundar Chaudhary,9784,False,Siraha,1,NC,2082
Madhesh,Ram Chandra Yadav,12814,False,Siraha,2,NC,2082
Madhesh,Subhash Chandra Yadav,9879,False,Siraha,3,NC,2082
Madhesh,Chandra Kala Kumari Yadav,4038,False,Siraha,4,NC,2082
Madhesh,Ram Paltan Sah,9485,False,Dhanusha,1,NC,2082
Madhesh,Dinesh Prasad Yadav Parsaila,10198,False,Dhanusha,2,NC,2082
Madhesh,Bimalendra Nidhi,16652,False,Dhanusha,3,NC,2082
Madhesh,Mahendra Yadav,15809,False,Dhanusha,4,NC,2082
Madhesh,Mukesh Raj Kafle,6213,False,Mahottari,1,NC,2082
Madhesh,Kiran Yadav,9745,False,Mahottari,2,NC,2082
Madhesh,Bajrang Nepali,4342,False,Mahottari,3,NC,2082
Madhesh,Mahendra Kumar Raya,6944,False,Mahottari,4,NC,2082
Madhesh,Shambhu Lal Shrestha,7871,False,Sarlahi,1,NC,2082
Madhesh,Dr. Saroj Kumar,7039,False,Sarlahi,2,NC,2082
Madhesh,Binod Kumar Khanal,6624,False,Sarlahi,3,NC,2082
Madhesh,Gagan Kumar Thapa,22831,False,Sarlahi,4,NC,2082
Madhesh,Anil Kumar Jha,8574,False,Rautahat,1,NC,2082
Madhesh,Md. Firdosh Alam,29528,True,Rautahat,2,NC,2082
Madhesh,Ramkrishna Prasad Yadav,6420,False,Rautahat,3,NC,2082
Madhesh,Dev Prasad Timalsena,15865,False,Rautahat,4,NC,2082
Madhesh,Shambhubahadur Budhathoki,14223,False,Bara,1,NC,2082
Madhesh,Bhaiyaraprasad Yadav,11837,False,Bara,2,NC,2082
Madhesh,Pharamullaha Mansur,10052,False,Bara,3,NC,2082
Madhesh,Shyambabu Gupta,7113,False,Bara,4,NC,2082
Madhesh,Anil Kumar Rungata,11885,False,Parsa,1,NC,2082
Madhesh,Ajay Kumar Chaurasiya,11890,False,Parsa,2,NC,2082
Madhesh,Surendra Prasad Chaudhary,16366,False,Parsa,3,NC,2082
Madhesh,Ramesh Rijal,12534,False,Parsa,4,NC,2082
Bagmati,Ujjwal Prasad Baral,15570,False,Sindhuli,1,NC,2082
Bagmati,Shushila Theeng,6760,False,Sindhuli,2,NC,2082
