province,district_name,constituency,party,votes,winner,election_year
Koshi,Sunsari,2,हाम्रो नेपाली पार्टी,691,False,2079
Koshi,Sunsari,2,Federal Democratic National Forum,460,False,2079
Koshi,Sunsari,2,मंगोल नेशनल अर्गनाइजेसन,384,False,2079
Koshi,Sunsari,2,Independent,375,False,2079
Koshi,Sunsari,2,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",308,False,2079
Koshi,Sunsari,2,Independent,251,False,2079
Koshi,Sunsari,2,Independent,177,False,2079
Koshi,Sunsari,2,मौलिक जरोकिलो पार्टी,141,False,2079
Koshi,Sunsari,2,Janata Samajwadi Party Nepal,108,False,2079
Koshi,Sunsari,2,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),107,False,2079
Koshi,Sunsari,2,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल,97,False,2079
Koshi,Sunsari,2,Independent,73,False,2079
Koshi,Sunsari,2,Independent,69,False,2079
Koshi,Sunsari,2,विवेकशील साझा पार्टी,56,False,2079
Koshi,Sunsari,2,Independent,36,False,2079
Koshi,Sunsari,2,Independent,28,False,2079
Koshi,Sunsari,2,Independent,23,False,2079
Koshi,Sunsari,2,Independent,15,False,2079
Koshi,Sunsari,2,Independent,13,False,2079
Koshi,Sunsari,2,Independent,11,False,2079
Koshi,Sunsari,3,CPN-UML,40788,True,2079
Koshi,Sunsari,3,Nepali Congress,35600,False,2079
Koshi,Sunsari,3,Rastriya Swatantra Party,6453,False,2079
Koshi,Sunsari,3,Rastriya Prajatantra Party,1903,False,2079
Koshi,Sunsari,3,हाम्रो नेपाली पार्टी,944,False,2079
Koshi,Sunsari,3,Independent,336,False,2079
Koshi,Sunsari,3,Federal Democratic National Forum,214,False,2079
Koshi,Sunsari,3,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",210,False,2079
Koshi,Sunsari,3,Independent,119,False,2079
Koshi,Sunsari,3,Independent,110,False,2079
Koshi,Sunsari,3,नेपाली कांग्रेस (बी.पी.),90,False,2079
Koshi,Sunsari,3,Independent,65,False,2079
Koshi,Sunsari,3,Independent,65,False,2079
Koshi,Sunsari,3,पिछडावर्ग निषाद दलित जनजाती पार्टी,54,False,2079
Koshi,Sunsari,3,राष्ट्रिय जनमुक्ति पार्टी,40,False,2079
Koshi,Sunsari,3,मौलिक जरोकिलो पार्टी,38,False,2079
Koshi,Sunsari,3,Independent,31,False,2079
Koshi,Sunsari,3,Independent,14,False,2079
Koshi,Sunsari,3,Independent,13,False,2079
Koshi,Sunsari,3,Independent,11,False,2079
Koshi,Sunsari,3,Independent,9,False,2079
Koshi,Sunsari,3,Independent,7,False,2079
Koshi,Sunsari,4,Nepali Congress,30483,True,2079
Koshi,Sunsari,4,CPN-UML,30371,False,2079
Koshi,Sunsari,4,Rastriya Prajatantra Party,3232,False,2079
Koshi,Sunsari,4,Rastriya Swatantra Party,3181,False,2079
Koshi,Sunsari,4,Independent,2457,False,2079
Koshi,Sunsari,4,जनमत पार्टी,2153,False,2079
Koshi,Sunsari,4,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",1373,False,2079
Koshi,Sunsari,4,"जनता प्रगतिशिल पार्टी, नेपाल",409,False,2079
Koshi,Sunsari,4,Independent,147,False,2079
Koshi,Sunsari,4,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल,102,False,2079
Koshi,Sunsari,4,Federal Democratic National Forum,87,False,2079
Koshi,Sunsari,4,नेपाल कम्युनिष्ट पार्टी माओवादी समाजवादी,79,False,2079
Koshi,Sunsari,4,Independent,69,False,2079
Koshi,Sunsari,4,नेपालका लागि नेपाली पार्टी,56,False,2079
Koshi,Sunsari,4,Independent,44,False,2079
Koshi,Sunsari,4,Independent,39,False,2079
Koshi,Sunsari,4,एकीकृत शक्ति नेपाल,38,False,2079
Koshi,Sunsari,4,नेपाल मजदुर किसान पार्टी,21,False,2079
Koshi,Sunsari,4,Independent,19,False,2079
Koshi,Sunsari,4,Independent,15,False,2079
Koshi,Sunsari,4,Independent,11,False,2079
Koshi,Sunsari,4,Independent,11,False,2079
Koshi,Sunsari,4,Independent,9,False,2079
Koshi,Sunsari,4,Independent,9,False,2079
Koshi,Sunsari,4,Independent,8,False,2079
Koshi,Solukhumbu,1,CPN-UML,19324,True,2079
Koshi,Solukhumbu,1,Nepali Congress,16545,False,2079
Koshi,Solukhumbu,1,Janata Samajwadi Party Nepal,901,False,2079
Koshi,Solukhumbu,1,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी लेनिनवादी),490,False,2079
Koshi,Solukhumbu,1,Rastriya Prajatantra Party,279,False,2079
Koshi,Solukhumbu,1,नेपाल मजदुर किसान पार्टी,138,False,2079
Koshi,Solukhumbu,1,मंगोल नेशनल अर्गनाइजेसन,107,False,2079
Koshi,Solukhumbu,1,Federal Democratic National Forum,26,False,2079
Koshi,Khotang,1,CPN-Maoist Centre,31351,True,2079
Koshi,Khotang,1,CPN-UML,28682,False,2079
Koshi,Khotang,1,Janata Samajwadi Party Nepal,1914,False,2079
Koshi,Khotang,1,Rastriya Prajatantra Party,1761,False,2079
Koshi,Khotang,1,Independent,239,False,2079
Koshi,Khotang,1,आमूल परिवर्तन मसिहा पार्टी नेपाल,204,False,2079
